Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 132
DEC 107 : 28.190001	15.969000	30.487000	
HEX 108 : 41E87CEE	41716C8B	41FA53F8	
DEC 108 : 29.061001	15.089000	31.291000	
HEX 109 : 41FF3333	41869581	41E86873	
DEC 109 : 31.900000	16.823000	29.051001	
HEX 110 : 41FD6042	418BD4FE	41E2CAC1	
DEC 110 : 31.672001	17.479000	28.349001	
HEX 111 : 42038831	418720C5	41E8353F	
DEC 111 : 32.882999	16.891001	29.025999	
HEX 112 : 41C06666	4141B22D	41EDD2F2	
DEC 112 : 24.049999	12.106000	29.728001	
HEX 113 : 41C99581	41447EFA	41F5C6A8	
DEC 113 : 25.198000	12.281000	30.722000	
HEX 114 : 41D578D5	4155F3B6	41C5B021	
DEC 114 : 26.684000	13.372000	24.711000	
HEX 115 : 41D174BC	415EB852	41C08F5C	
DEC 115 : 26.181999	13.920000	24.070000	
HEX 116 : 41DCE979	41593F7D	41C3B021	
DEC 116 : 27.614000	13.578000	24.461000	
HEX 117 : 41C7978D	41639DB2	41D5D0E5	
DEC 117 : 24.948999	14.226000	26.726999	
HEX 118 : 41CB26E9	415A3127	41DAEF9E	
DEC 118 : 25.393999	13.637000	27.367001	
HEX 119 : 41CC2D0E	4160C8B4	41CFA7F0	
DEC 119 : 25.521999	14.049000	25.957001	
HEX 120 : 41E428F6	4141B646	41EEDB23	
DEC 120 : 28.520000	12.107000	29.857000	
HEX 121 : 41E97EFA	41454396	41E95A1D	
DEC 121 : 29.187000	12.329000	29.169001	
HEX 122 : 41EAE76D	415922D1	41C10E56	
DEC 122 : 29.363001	13.571000	24.132000	
HEX 123 : 41F11CAC	415424DD	41C526E9	
DEC 123 : 30.139000	13.259000	24.643999	
HEX 124 : 41EF5E35	414CC8B4	41DC7CEE	
DEC 124 : 29.921000	12.799000	27.561001	
HEX 125 : 41F57AE1	414C4DD3	41D78F5C	
DEC 125 : 30.684999	12.769000	26.945000	
HEX 126 : 41ECED91	415B2F1B	41DABE77	
DEC 126 : 29.615999	13.699000	27.343000	
HEX 127 : 41D39581	41446666	41E0DD2F	
DEC 127 : 26.448000	12.275000	28.108000	
HEX 128 : 41D9DF3B	4145CAC1	41E5851F	
DEC 128 : 27.233999	12.362000	28.690001	
HEX 129 : 41E30000	419DAE14	41C045A2	
DEC 129 : 28.375000	19.709999	24.034000	
HEX 130 : 41FDC6A8	41518937	41CBE560	
DEC 130 : 31.722000	13.096000	25.487000	
HEX 131 : 4201AC08	4146B852	41CA51EC	
DEC 131 : 32.417999	12.420000	25.290001	
HEX 132 : 4200D4FE	415ED4FE	41CAA1CB	
DEC 132 : 32.208000	13.927000	25.329000	
133 : 0.000000	0.000000	0.000000	
134 : 0.000000	0.000000	0.000000	
135 : 0.000000	0.000000	0.000000	
136 : 0.000000	0.000000	0.000000	
137 : 0.000000	0.000000	0.000000	
138 : 0.000000	0.000000	0.000000	
139 : 0.000000	0.000000	0.000000	
140 : 0.000000	0.000000	0.000000	
141 : 0.000000	0.000000	0.000000	
142 : 0.000000	0.000000	0.000000	
143 : 0.000000	0.000000	0.000000	
144 : 0.000000	0.000000	0.000000	
145 : 0.000000	0.000000	0.000000	
146 : 0.000000	0.000000	0.000000	
147 : 0.000000	0.000000	0.000000	
148 : 0.000000	0.000000	0.000000	
149 : 0.000000	0.000000	0.000000	
150 : 0.000000	0.000000	0.000000	
151 : 0.000000	0.000000	0.000000	
152 : 0.000000	0.000000	0.000000	
153 : 0.000000	0.000000	0.000000	
154 : 0.000000	0.000000	0.000000	
155 : 0.000000	0.000000	0.000000	
156 : 0.000000	0.000000	0.000000	
157 : 0.000000	0.000000	0.000000	
158 : 0.000000	0.000000	0.000000	
159 : 0.000000	0.000000	0.000000	
160 : 0.000000	0.000000	0.000000	
161 : 0.000000	0.000000	0.000000	
162 : 0.000000	0.000000	0.000000	
163 : 0.000000	0.000000	0.000000	
164 : 0.000000	0.000000	0.000000	
165 : 0.000000	0.000000	0.000000	
166 : 0.000000	0.000000	0.000000	
167 : 0.000000	0.000000	0.000000	
168 : 0.000000	0.000000	0.000000	
169 : 0.000000	0.000000	0.000000	
170 : 0.000000	0.000000	0.000000	
171 : 0.000000	0.000000	0.000000	
172 : 0.000000	0.000000	0.000000	
173 : 0.000000	0.000000	0.000000	
174 : 0.000000	0.000000	0.000000	
175 : 0.000000	0.000000	0.000000	
176 : 0.000000	0.000000	0.000000	
177 : 0.000000	0.000000	0.000000	
