Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 145
HEX 94 : 40BE147B	4168D4FE	41BBC083	
DEC 94 : 5.940000	14.552000	23.469000	
HEX 95 : 40AA1CAC	4165851F	41B5F1AA	
DEC 95 : 5.316000	14.345000	22.743000	
HEX 96 : 40CE2D0E	41748312	41B8624E	
DEC 96 : 6.443000	15.282000	23.048000	
HEX 97 : 411553F8	4185B021	41A08D50	
DEC 97 : 9.333000	16.711000	20.069000	
HEX 98 : 411EAC08	418120C5	419C22D1	
DEC 98 : 9.917000	16.141001	19.517000	
HEX 99 : 41083127	41819375	41A12F1B	
DEC 99 : 8.512000	16.197001	20.148001	
HEX 100 : 40D8CCCD	41854FDF	41AF1893	
DEC 100 : 6.775000	16.664000	21.886999	
HEX 101 : 40BAF1AA	418751EC	41ADD0E5	
DEC 101 : 5.842000	16.915001	21.726999	
HEX 102 : 40E4AC08	418BDB23	41B2374C	
DEC 102 : 7.146000	17.482000	22.277000	
HEX 103 : 40890625	415FA1CB	41AA6666	
DEC 103 : 4.282000	13.977000	21.299999	
HEX 104 : 40645A1D	41553F7D	41A926E9	
DEC 104 : 3.568000	13.328000	21.143999	
HEX 105 : 40A0BC6A	4158E148	41A68312	
DEC 105 : 5.023000	13.555000	20.813999	
HEX 106 : 413D1AA0	41991CAC	41BDA1CB	
DEC 106 : 11.819000	19.139000	23.704000	
HEX 107 : 4134E979	4193FDF4	41B972B0	
DEC 107 : 11.307000	18.499001	23.181000	
HEX 108 : 412D4FDF	41B90625	41BA28F6	
DEC 108 : 10.832000	23.128000	23.270000	
HEX 109 : 4134E979	41BCA9FC	41B4645A	
DEC 109 : 11.307000	23.583000	22.549000	
HEX 110 : 412651EC	41BF0A3D	41BDD70A	
DEC 110 : 10.395000	23.879999	23.730000	
HEX 111 : 410E6666	41A7FDF4	419D9FBE	
DEC 111 : 8.900000	20.999001	19.702999	
HEX 112 : 410F0A3D	41A9F7CF	41960625	
DEC 112 : 8.940000	21.246000	18.753000	
HEX 113 : 40FDFBE7	41A90A3D	419EBE77	
DEC 113 : 7.937000	21.129999	19.843000	
HEX 114 : 40556042	41AB1687	41B0F3B6	
DEC 114 : 3.334000	21.386000	22.118999	
HEX 115 : 40758106	41A524DD	41B426E9	
DEC 115 : 3.836000	20.643000	22.518999	
HEX 116 : 4024BC6A	41A70625	41AE0831	
DEC 116 : 2.574000	20.878000	21.754000	
HEX 117 : 40B849BA	4198C6A8	41920831	
DEC 117 : 5.759000	19.097000	18.254000	
HEX 118 : 40BFB646	419E6873	4197353F	
DEC 118 : 5.991000	19.801001	18.900999	
HEX 119 : 40D3645A	41980831	418E1AA0	
DEC 119 : 6.606000	19.004000	17.763000	
HEX 120 : 41021062	4196978D	41B8DD2F	
DEC 120 : 8.129000	18.823999	23.108000	
HEX 121 : 41072B02	419DAC08	41B68312	
DEC 121 : 8.448000	19.709000	22.813999	
